Email,Avatar,Avg Session Length,Time on App,Time on Website,Length of Membership,Yearly Amount Spent
mstephenson@fernandez.com,Violet,34.49726773,12.65565115,39.57766802,4.082620633,587.951054
hduke@hotmail.com,DarkGreen,31.92627203,11.10946073,37.26895887,2.664034182,392.2049334
pallen@yahoo.com,Bisque,33.00091476,11.33027806,37.11059744,4.104543202,487.5475049
riverarebecca@gmail.com,SaddleBrown,34.30555663,13.71751367,36.72128268,3.120178783,581.852344
mstephens@davidson-herman.com,MediumAquaMarine,33.33067252,12.79518855,37.5366533,4.446308318,599.406092
alvareznancy@lucas.biz,FloralWhite,33.87103788,12.02692534,34.47687763,5.493507201,637.1024479
katherine20@yahoo.com,DarkSlateBlue,32.0215955,11.36634831,36.68377615,4.685017247,521.5721748
awatkins@yahoo.com,Aqua,32.73914294,12.35195897,37.37335886,4.434273435,549.9041461
vchurch@walter-martinez.com,Salmon,33.9877729,13.38623528,37.53449734,3.273433578,570.200409
bonnie69@lin.biz,Brown,31.93654862,11.81412829,37.14516822,3.202806072,427.1993849
andrew06@peterson.com,Tomato,33.99257277,13.33897545,37.22580613,2.482607771,492.6060127
ryanwerner@freeman.biz,Tomato,33.87936082,11.584783,37.08792607,3.713209203,522.3374046
knelson@gmail.com,RoyalBlue,29.53242897,10.9612984,37.42021558,4.046423164,408.6403511
wrightpeter@yahoo.com,Bisque,33.19033404,12.95922609,36.1446667,3.918541839,573.4158673
taylormason@gmail.com,DarkBlue,32.38797585,13.14872569,36.61995708,2.494543647,470.4527333
jstark@anderson.com,Peru,30.73772037,12.63660605,36.21376309,3.357846842,461.7807422
wjennings@gmail.com,PowderBlue,32.1253869,11.73386169,34.89409275,3.136132716,457.8476959
rebecca45@hale-bauer.biz,OliveDrab,32.33889932,12.01319469,38.38513659,2.420806161,407.7045475
alejandro75@hotmail.com,Cyan,32.18781205,14.71538754,38.24411459,1.516575581,452.3156755
samuel46@love-west.net,LightSeaGreen,32.61785606,13.98959256,37.1905038,4.06454855,605.0610388
megan33@gmail.com,PeachPuff,32.91278511,11.36549203,37.60779252,4.599937358,534.7057438
agolden@yahoo.com,Black,33.50308726,12.8779837,37.44102134,1.55915194,419.9387748
vstafford@hotmail.com,Olive,31.53160448,13.37856278,38.73400629,2.245147787,436.5156057
denise22@hernandez-townsend.com,Silver,32.90325097,11.65757592,36.77260376,3.919302309,519.3409891
youngbarbara@yahoo.com,Wheat,34.507551,12.8936695,37.63575588,5.705153971,700.9170916
william25@mcconnell.com,Teal,33.02933195,11.76581265,37.73852495,2.721735992,423.1799917
ijones@schaefer-carr.net,Linen,33.54123131,12.78389178,36.43064962,4.648199316,619.8956399
heatherhall@yahoo.com,MediumSlateBlue,32.33598964,13.00781942,37.85177917,2.996364526,486.8389348
tinasmith@martinez.info,LemonChiffon,33.11020506,11.98204499,35.29308775,3.923488746,529.5376653
chasejennifer@hotmail.com,DarkOrchid,33.10543794,11.96502,37.27781174,4.74257752,554.7220838
jenniferbarnett@gmail.com,SeaGreen,33.24190043,12.30541781,36.16364817,3.062368145,497.5866713
jared39@hotmail.com,SteelBlue,33.4610563,10.86916381,35.62244242,3.471413452,447.6879065
briancarlson@page-fleming.com,DarkMagenta,32.17550124,13.38749211,35.69417499,4.343062915,588.7126055
joshuaodom@gmail.com,DarkGoldenRod,32.72836,13.10450724,38.87804051,2.820097234,491.0732237
vickie90@lee-wilson.com,DarkSeaGreen,32.82030995,11.63489325,35.36862633,4.124585297,507.4418323
duane56@hotmail.com,Gainsboro,33.61603789,11.9363865,38.768641,3.649286158,521.8835732
enash@gmail.com,HotPink,31.72165236,11.7550237,36.76572236,1.847370423,347.7769266
sandraharrison@bailey-gordon.net,LightSeaGreen,32.86532717,11.98441752,37.0443614,3.452388583,490.7386321
cunninghamwilliam@hotmail.com,HoneyDew,32.74936818,9.954975969,37.38831487,4.650491269,478.1703341
teresaallen@hill-leach.info,WhiteSmoke,32.56723048,12.48901322,36.37147981,4.222436225,537.8461953
rhonda96@little.org,GhostWhite,32.07054622,11.73310622,37.53429101,4.671275461,532.7517876
lisacabrera@yahoo.com,DarkSlateBlue,33.01954799,10.63456132,37.49669015,4.646119977,501.8744303
jasonrichardson@elliott.com,Chocolate,33.79203908,12.50752537,37.14286198,4.214495086,591.1971782
hoovernicole@dorsey.net,HoneyDew,32.89398062,11.52987821,36.88808605,4.64325855,547.2443434
christopher20@gmail.com,Snow,32.04448613,13.41493474,36.11243501,2.258686387,448.2298292
brianwilson@yahoo.com,BurlyWood,34.55576799,12.17052542,39.13109673,3.663105491,549.8605905
gonzaleskatie@gmail.com,Moccasin,34.56455771,13.14655143,37.33544589,3.876875177,593.915003
lsmith@chung.com,BlueViolet,32.7267846,12.98851015,36.46200326,4.113226123,563.6728734
dongarcia@hotmail.com,MediumBlue,33.11721873,11.86412636,36.58272777,3.202531199,479.7319491
kimberly46@garcia-nelson.biz,GreenYellow,31.66104982,11.39806419,36.5944567,3.198399272,416.3583536
william82@gmail.com,SandyBrown,33.25633547,13.85806246,37.78026469,5.976768126,725.5848141
